run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate
128,direct,456,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,
88,direct,456,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,
117,direct,456,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,
198,direct,789,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,
153,direct,789,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,
38,direct,123,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,
154,direct,789,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,
36,direct,123,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,
196,direct,789,128,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,
162,direct,789,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,
31,direct,123,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,
165,direct,789,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,
191,direct,789,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,
131,direct,456,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,
91,direct,456,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,
65,direct,123,128,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,
136,direct,456,128,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,
62,direct,123,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,
96,direct,456,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,
109,direct,456,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,
100,direct,456,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,
54,direct,123,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,
107,direct,456,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,
98,direct,456,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,
138,direct,456,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,
53,direct,123,128,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,
30,direct,123,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,
190,direct,789,128,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,
164,direct,789,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,
37,direct,123,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,
163,direct,789,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,
197,direct,789,128,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,
155,direct,789,64,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,
199,direct,789,128,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,
39,direct,123,128,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,
152,direct,789,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,
106,direct,456,64,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,
99,direct,456,64,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,
52,direct,123,128,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,
139,direct,456,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,
101,direct,456,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,
55,direct,123,128,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,
137,direct,456,128,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,
97,direct,456,64,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,
108,direct,456,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,
63,direct,123,128,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,
130,direct,456,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,
64,direct,123,128,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,
90,direct,456,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,
212,direct,789,128,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,
215,direct,789,128,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,
214,direct,789,128,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,
213,direct,789,128,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,
209,direct,789,128,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,
200,direct,789,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,
207,direct,789,128,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,
206,direct,789,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,
201,direct,789,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,
208,direct,789,128,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,
46,direct,123,128,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,
79,direct,456,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,
112,direct,456,128,3.0,3000.0,2.5,1.0,direct_clustering_sweep,,
41,direct,123,128,3.0,3000.0,2.5,2.5,direct_clustering_sweep,,
115,direct,456,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,
83,direct,456,64,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,
77,direct,456,64,3.0,3000.0,2.5,2.5,direct_clustering_sweep,,
123,direct,456,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,
48,direct,123,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,
70,direct,123,128,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,
84,direct,456,64,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,
124,direct,456,128,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,
184,direct,789,128,3.0,3000.0,2.5,1.0,direct_clustering_sweep,,
170,direct,789,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,
24,direct,123,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,
177,direct,789,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,
183,direct,789,128,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,
148,direct,789,64,3.0,3000.0,2.5,1.0,direct_clustering_sweep,,
23,direct,123,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,
141,direct,456,128,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,
4,direct,123,64,3.0,3000.0,2.5,1.0,direct_clustering_sweep,,
15,direct,123,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,
3,direct,123,64,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,
146,direct,789,64,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,
12,direct,123,64,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,
179,direct,789,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,
85,direct,456,64,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,
71,direct,123,128,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,
125,direct,456,128,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,
76,direct,456,64,3.0,3000.0,2.5,1.0,direct_clustering_sweep,,
82,direct,456,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,
49,direct,123,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,
122,direct,456,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,
40,direct,123,128,3.0,3000.0,2.5,1.0,direct_clustering_sweep,,
114,direct,456,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,
47,direct,123,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,
113,direct,456,128,3.0,3000.0,2.5,2.5,direct_clustering_sweep,,
78,direct,456,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,
147,direct,789,64,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,
2,direct,123,64,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,
178,direct,789,64,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,
13,direct,123,64,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,
5,direct,123,64,3.0,3000.0,2.5,2.5,direct_clustering_sweep,,
140,direct,456,128,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,
14,direct,123,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,
182,direct,789,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,
176,direct,789,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,
22,direct,123,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,
149,direct,789,64,3.0,3000.0,2.5,2.5,direct_clustering_sweep,,
171,direct,789,64,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,
185,direct,789,128,3.0,3000.0,2.5,2.5,direct_clustering_sweep,,
25,direct,123,64,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,
135,stigmergy,123,64,5.5,,3.5,3.0,stigmergy_decay_threshold_sweep,0.9,1.0
307,stigmergy,123,128,3.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.95,2.0
61,stigmergy,123,64,3.0,,3.5,9.0,stigmergy_decay_threshold_sweep,0.9,2.0
95,stigmergy,123,64,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,3.0
338,stigmergy,123,128,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,3.0
300,stigmergy,123,128,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,1.0
132,stigmergy,123,64,5.5,,2.5,9.0,stigmergy_decay_threshold_sweep,0.99,1.0
59,stigmergy,123,64,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,3.0
92,stigmergy,123,64,5.5,,1.5,3.0,stigmergy_decay_threshold_sweep,0.95,3.0
66,stigmergy,123,64,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
336,stigmergy,123,128,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
104,stigmergy,123,64,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.99,3.0
309,stigmergy,123,128,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
50,stigmergy,123,64,3.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.99,3.0
68,stigmergy,123,64,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,3.0
103,stigmergy,123,64,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.99,2.0
331,stigmergy,123,128,5.5,,1.5,9.0,stigmergy_decay_threshold_sweep,0.9,2.0
57,stigmergy,123,64,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,1.0
168,stigmergy,123,64,10.0,,1.5,9.0,stigmergy_decay_threshold_sweep,0.9,1.0
391,stigmergy,123,128,5.5,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,2.0
365,stigmergy,123,128,5.5,,2.5,6.0,stigmergy_decay_threshold_sweep,0.95,3.0
157,stigmergy,123,64,5.5,,3.5,6.0,stigmergy_decay_threshold_sweep,0.99,2.0
150,stigmergy,123,64,5.5,,3.5,9.0,stigmergy_decay_threshold_sweep,0.95,1.0
362,stigmergy,123,128,5.5,,2.5,3.0,stigmergy_decay_threshold_sweep,0.95,3.0
159,stigmergy,123,64,5.5,,3.5,9.0,stigmergy_decay_threshold_sweep,0.99,1.0
32,stigmergy,123,64,3.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,3.0
166,stigmergy,123,64,10.0,,1.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
354,stigmergy,123,128,5.5,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,1.0
192,stigmergy,123,64,10.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,1.0
35,stigmergy,123,64,3.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.9,3.0
195,stigmergy,123,64,10.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.9,1.0
353,stigmergy,123,128,5.5,,2.5,3.0,stigmergy_decay_threshold_sweep,0.9,3.0
161,stigmergy,123,64,5.5,,3.5,9.0,stigmergy_decay_threshold_sweep,0.99,3.0
330,stigmergy,123,128,5.5,,1.5,9.0,stigmergy_decay_threshold_sweep,0.9,1.0
102,stigmergy,123,64,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.99,1.0
69,stigmergy,123,64,3.0,,3.5,9.0,stigmergy_decay_threshold_sweep,0.95,1.0
56,stigmergy,123,64,3.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.9,3.0
105,stigmergy,123,64,5.5,,1.5,9.0,stigmergy_decay_threshold_sweep,0.99,1.0
337,stigmergy,123,128,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,2.0
51,stigmergy,123,64,3.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.99,1.0
308,stigmergy,123,128,3.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.95,3.0
58,stigmergy,123,64,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
133,stigmergy,123,64,5.5,,2.5,9.0,stigmergy_decay_threshold_sweep,0.99,2.0
301,stigmergy,123,128,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
67,stigmergy,123,64,3.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,2.0
93,stigmergy,123,64,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
306,stigmergy,123,128,3.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.95,1.0
134,stigmergy,123,64,5.5,,2.5,9.0,stigmergy_decay_threshold_sweep,0.99,3.0
94,stigmergy,123,64,5.5,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,2.0
339,stigmergy,123,128,5.5,,1.5,9.0,stigmergy_decay_threshold_sweep,0.95,1.0
60,stigmergy,123,64,3.0,,3.5,9.0,stigmergy_decay_threshold_sweep,0.9,1.0
34,stigmergy,123,64,3.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.9,2.0
160,stigmergy,123,64,5.5,,3.5,9.0,stigmergy_decay_threshold_sweep,0.99,2.0
352,stigmergy,123,128,5.5,,2.5,3.0,stigmergy_decay_threshold_sweep,0.9,2.0
194,stigmergy,123,64,10.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,3.0
