run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate,final_clustering,steady_state_clustering
169,direct,789,64,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
156,direct,789,64,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,,0.828125,0.8756904869026195
156,direct,789,64,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,,0.828125,0.8756904869026195
211,direct,789,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.96875,0.9743488802239552
211,direct,789,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.96875,0.9743488802239552
210,direct,789,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.953125,0.9348099130173965
210,direct,789,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.953125,0.9348099130173965
204,direct,789,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
204,direct,789,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
203,direct,789,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.890625,0.8293934963007399
203,direct,789,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.890625,0.8293934963007399
202,direct,789,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,4.686562687462508e-05
202,direct,789,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,4.686562687462508e-05
205,direct,789,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
205,direct,789,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
174,direct,789,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
174,direct,789,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
180,direct,789,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.953125,0.9328259348130374
180,direct,789,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.953125,0.9328259348130374
20,direct,123,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.875,0.787870550889822
20,direct,123,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.875,0.787870550889822
187,direct,789,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.828125,0.8035861577684463
187,direct,789,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.828125,0.8035861577684463
18,direct,123,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.234375,0.10848455308938212
18,direct,123,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,,0.234375,0.10848455308938212
173,direct,789,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,,0.828125,0.8648207858428314
173,direct,789,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,,0.828125,0.8648207858428314
27,direct,123,64,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.015625,0.00015309438112377525
27,direct,123,64,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.015625,0.00015309438112377525
9,direct,123,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.0001280993801239752
9,direct,123,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.0001280993801239752
0,direct,123,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.015625,0.00010935312937412518
0,direct,123,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.015625,0.00010935312937412518
145,direct,789,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.890625,0.8427220805838832
145,direct,789,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.890625,0.8427220805838832
11,direct,123,64,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.03125,0.013606653669266148
11,direct,123,64,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.03125,0.013606653669266148
142,direct,456,128,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
142,direct,456,128,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
7,direct,123,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
7,direct,123,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
29,direct,123,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,,0.015625,0.0026869626074785043
29,direct,123,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,,0.015625,0.0026869626074785043
16,direct,123,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.0,0.0
16,direct,123,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.0,0.0
189,direct,789,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.0007498500299940012
189,direct,789,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.0007498500299940012
129,direct,456,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,6.56118776244751e-05
129,direct,456,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,6.56118776244751e-05
42,direct,123,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
42,direct,123,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
89,direct,456,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,,0.0,0.0
89,direct,456,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,,0.0,0.0
116,direct,456,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
116,direct,456,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
45,direct,123,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.828125,0.7618288842231554
45,direct,123,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.828125,0.7618288842231554
111,direct,456,128,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
